web-scraper-order,web-scraper-start-url,product-link,product-link-href,ad-id,Images,title,location,map-link,map-link-href,type,bedrooms,bathrooms,price,utilities,wifi,parking,agreement-type,move-in-date,pet-friendly,size,furnished,appliances,air-conditioning,person-outdoor-space,smoking,Posted-by,Posted-on,hydro,Heat,water,amenities
1655188530-6314,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Grand 7 1/2 à 3 minutes du métro Mont-Royal pour le 1er juillet,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-7-1-2-a-3-minutes-du-metro-mont-royal-pour-le-1er-juillet/1620905630,Ad ID 1620905630,7,Grand 7 1/2 à 3 minutes du métro Mont-Royal pour le 1er juillet,"4431 Rue Saint-Denis, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-7-1-2-a-3-minutes-du-metro-mont-royal-pour-le-1er-juillet/1620905630#map,Apartment,Bedrooms: 5+,Bathrooms: 1,"$2,800 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,"10,000",Yes,AppliancesLaundry (In Unit),No,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,3 days ago,Laundry (In Unit),Balcony,null,AmenitiesNot Included
1655192606-7651,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"61/2,4,bedrooms,adj,Downtown,Westmount",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/61-2-4-bedrooms-adj-downtown-westmount/1615492623,Ad ID 1615492623,25,"61/2,4,bedrooms,adj,Downtown,Westmount","3210 Forest Hill, Montreal, QC, H3V 1C8",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/61-2-4-bedrooms-adj-downtown-westmount/1615492623#map,Apartment,Bedrooms: 4,Bathrooms: 3,"$2,595 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,"1,800",No,AppliancesLaundry (In Building),No,Personal Outdoor SpaceBalcony,No,Gestion Forest Hill Inc.,about 8 hours ago,null,"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesPoolConciergeElevator in Building
1655192281-7545,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Grand 41/2 à louer Rosemont Petite-Patrie,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-41-2-a-louer-rosemont-petite-patrie/1621206590,Ad ID 1621206590,6,Grand 41/2 à louer Rosemont Petite-Patrie,"Montréal, QC H1X 2J6",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-41-2-a-louer-rosemont-petite-patrie/1621206590#map,Apartment,Bedrooms: 2 + Den,Bathrooms: 1,"$1,200 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,"3,282",No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,No,Kijiji User,about 10 hours ago,null,Balcony,null,AmenitiesStorage Space
1655182711-4376,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Modern furnished 3 1/2 in Downtown Montreal-Metro&McGill Univ.,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/modern-furnished-3-1-2-in-downtown-montreal-metro-mcgill-univ/1619524031,Ad ID 1619524031,2,Modern furnished 3 1/2 in Downtown Montreal-Metro&McGill Univ.,"Montreal, QC H3A 0A4",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/modern-furnished-3-1-2-in-downtown-montreal-metro-mcgill-univ/1619524031#map,Condo,Bedrooms: 1,Bathrooms: 1,"$1,550 ",Not Included,Not Included,0,1 Year,01-Aug-22,null,750,Yes,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceNot Included,Outdoors only,Kijiji User,10 days ago,Laundry (In Unit),null,Dishwasher,AmenitiesGymConcierge24 Hour SecurityBicycle ParkingElevator in Building
1655187499-5993,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Studio NDG near Monkland  available now,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-ndg-near-monkland-available-now/1620761074,Ad ID 1620761074,7,Studio NDG near Monkland  available now,"Montreal, QC H4B 2X8",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-ndg-near-monkland-available-now/1620761074#map,Apartment,Bedrooms: Bachelor/Studio,Bathrooms: 1,"$1,115 ",HydroHeatWater,Not Included,0,1 Year,10-Jun-22,null,390,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceNot Included,No,Kijiji User,4 days ago,Laundry (In Unit),null,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesNot Included
1655188050-6156,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Grand appartement rénové à Saint Leonard,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-appartement-renove-a-saint-leonard/1620828278,Ad ID 1620828278,2,Grand appartement rénové à Saint Leonard,"H1R 3C7, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-appartement-renove-a-saint-leonard/1620828278#map,Duplex/Triplex,Bedrooms: 2,Bathrooms: 1,"$1,250 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,1,No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,Outdoors only,Neath,3 days ago,null,Balcony,null,null
1655189409-6605,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Appartement sur 2 étages(À louer)Montréal, Ahuntsic-Cartierville",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-sur-2-etages-a-louer-montreal-ahuntsic-cartierville/1608290343,Ad ID 1608290343,null,"Appartement sur 2 étages(À louer)Montréal, Ahuntsic-Cartierville","6311 BOULEVARD GOUIN OUEST, montreal, QC, H4K 1A7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-sur-2-etages-a-louer-montreal-ahuntsic-cartierville/1608290343#map,Condo,Bedrooms: 2,Bathrooms: 2,Please Contact,HydroHeatWater,Internet,0,1 Year,01-May-22,null,Not Available,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Tour La Roche,2 days ago,Laundry (In Unit),Internet,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConcierge24 Hour SecurityBicycle ParkingStorage SpaceElevator in Building
1655188859-6423,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,2 étages 2 chambres 2 sdb TOUT INCLUS,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-etages-2-chambres-2-sdb-tout-inclus/1620956570,Ad ID 1620956570,7,2 étages 2 chambres 2 sdb TOUT INCLUS,"1051 Rue Berri, Montréal, QC H2L 4C5, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-etages-2-chambres-2-sdb-tout-inclus/1620956570#map,Condo,Bedrooms: 2,Bathrooms: 2,"$2,100 ",HydroHeatWater,Not Included,1,1 Year,01-Jul-22,null,"1,000",Yes,AppliancesLaundry (In Unit)Laundry (In Building)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,Outdoors only,Georges,2 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesBicycle ParkingStorage Space
1655182313-4237,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"4 1/2 modern, Pret du metro Namur. 5  electros stainless",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-modern-pret-du-metro-namur-5-electros-stainless/1618668149,Ad ID 1618668149,null,"4 1/2 modern, Pret du metro Namur. 5  electros stainless","Montréal, QC H4P",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-modern-pret-du-metro-namur-5-electros-stainless/1618668149#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,480 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,883,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,RICARDO,11 days ago,Laundry (In Unit),Balcony,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConcierge24 Hour SecurityBicycle ParkingStorage SpaceElevator in Building
1655182119-4168,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Wanted:
                            Recherche apt dans Cartierville/St-Laurent",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/recherche-apt-dans-cartierville-st-laurent/1619683880,Ad ID 1619683880,null,Wanted: Recherche apt dans Cartierville/St-Laurent,"Montréal, QC H1Y 3A3",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/recherche-apt-dans-cartierville-st-laurent/1619683880#map,Apartment,Bedrooms: Bachelor/Studio,Bathrooms: 1,Please Contact,Not Included,Not Included,0,1 Year,30-Jul-22,null,400,No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,No,Jessie Langlois,11 days ago,null,Balcony,null,AmenitiesNot Included
